,country,label_name,tfidf,country_label_count,num_country_labels,num_articles,label_count,label_count_project,idf,tf,lda
84,4,cultivation,4.604678124067718,301,29423,4051,9,2915,450.1111111111111,0.010230092104815961,1
85,4,diet,4.10290588995004,298,29423,4051,10,1035,405.1,0.010128131053937397,1
86,4,consumption,4.006528905957924,291,29423,4051,10,815,405.1,0.009890221935220746,1
87,4,street,3.7549474282642215,300,29423,4051,11,2115,368.27272727272725,0.01019610508785644,1
88,4,flower,3.7299144454091264,298,29423,4051,11,2879,368.27272727272725,0.010128131053937397,1
89,4,protein,3.692364971126484,295,29423,4051,11,923,368.27272727272725,0.010026170003058832,1
90,4,consume,3.5108758454270474,255,29423,4051,10,532,405.1,0.008666689324677974,1
91,4,common,3.4649820435260392,302,29423,4051,12,2500,337.5833333333333,0.010264079121775481,1
92,4,add,3.4649820435260392,302,29423,4051,12,3649,337.5833333333333,0.010264079121775481,1
93,4,sea,3.453508593050788,301,29423,4051,12,1384,337.5833333333333,0.010230092104815961,1
94,4,cause,3.453508593050788,301,29423,4051,12,1325,337.5833333333333,0.010230092104815961,1
95,4,high,3.396141340674529,296,29423,4051,12,1459,337.5833333333333,0.010060157020018353,1
96,4,reduce,3.3846678901992773,295,29423,4051,12,849,337.5833333333333,0.010026170003058832,1
97,4,alcohol,3.3731944397240254,294,29423,4051,12,831,337.5833333333333,0.00999218298609931,1
98,4,sugar,3.3502475387735218,292,29423,4051,12,825,337.5833333333333,0.009924208952180267,1
99,4,level,3.3502475387735218,292,29423,4051,12,820,337.5833333333333,0.009924208952180267,1
100,5,give,20.648167163588226,824,80831,4051,2,2339,2025.5,0.01019410869592112,1
101,5,specie,9.434508418799718,753,80831,4051,4,1593,1012.75,0.00931573282527743,1
102,5,new_york,6.815899840407764,816,80831,4051,6,2720,675.1666666666666,0.010095136766834507,1
103,5,cultivar,6.231202550176706,746,80831,4051,6,1504,675.1666666666666,0.009229132387326644,1
